normalization	East-West	Dialect	id	year
@@ Mene ja tiedä tuota, kun olen koko päivän maalannut lautoja tuohon aitaan… mutta onpahan nähnyt työnsä jäljet. Tekee kyllä päälle hyvää, kun ei tarvitse mitään miettiä. Vedellä vain maalia pintaan. #murreviikko #mielenterveyspäivä	E	SA	1.31494230619426E+018	2020
#murreviikko on löytänyt verokarhunkin.  [url]	NA	NA	1.31493458239173E+018	2020
Kai maar tämä nyt sopii Aleksis Kiven_päivän ja murreviikon kirjaksi? #murreviikko #aleksiskivenpäivä [url]	W	TA	1.31491037237835E+018	2020
“Kenenkä vain pumpun voi tuomita senkin perusteella, miten tämä eläimiä kohtelee.” - Kantin Immanuel  #Murreviikko [url]	E	SA	1.31490703866585E+018	2020
#Murreviikko päivä kuusi. Tänään kokosin yhteen asioita joita olen saanut palautteena viikon aikana. En ole joutanut tarkasti seuraamaan keskustelua joten tämä ei ole systemaattinen katsaus. Nämä tulevat nyt yleiskielellä jotta en pane (omaa) murretta muiden suuhun. 1/	E	SA	1.31490172313635E+018	2020
#murreviikko  Muista raumalainen: isäsi ja äitisi on meri, sinun veljesi sen tuska ja vaiva. Sinun suonissasi kiertää aina suolainen veri. Sinun taivas on meri ja laiva.  - Tauno Koskela -	W	SW	1.31487914775225E+018	2020
Maailmalla eli Suomessa tapahtuu: suomalaisen kirjallisuuden päivä ja #murreviikko. Tässäpä postauksessa esittelen aivan mahdottoman hyviä suomalaisia kirjailijoita ja heidän teoksiaan. Kerro mikä on sinun suosikkisi suomalaisesta kirjallisuudesta - Lupaan vilkaista läpi!	E	SA	1.3148595298893E+018	2020
@@ No se on kyllä toinen vaihtoehto. Minä kyllä veikkaan lahovikaa kun sellaiselle on ominaista että ulospäin näyttää aika passelilta, mutta sisältä on silkkoa. #murreviikko	W	SW	1.31484299122853E+018	2020
Mahdottoman iso kiitos luottamuksesta. [emoji] Me_olemme niin ylpeitä kun saadaan olla Suomen ja Pohjoismaiden parhain pankki.  #murreviikko #paikallinenpankki [url]	W	SO	1.31483987175683E+018	2020
Meidän piti eilen järkätä lapsen kahdeksanvuotis_synttärijuhlat ulkona, mutta ulkona ripsi. Kaikilla lapsilla oli kuitenkin rönttövaatteet mukana, joten he päätyivät juoksemaan ympäri pihaa sateessa. Rennoimmat tämmöiset bileet muuten koskaan. #murreviikko	NA	NA	1.31483899745845E+018	2020
Se olisi #murreviikko No minä pläjäyttää tän twiitin sitten tänne, että voi pöndet funtsia mitä tuo jäbä horisee. En_minä kyllä mitään vanhaa slangia osaa bamlata, mutta kai tämä nykyversiokin saa jengin vähän edes hiffaamaan että stadissa on oma murre tai vähintään puhekieli. Ei minulla muuta, nähdään	W	HE	1.31482931722294E+018	2020
@@ @@ @@ Siitähän se vasta tora ja pora syttyykin kun kumpikin väittää olevansa omistaja, vaan ei kuitenkaan velvollinen maksamaan määrättyjä rätinkejä. #murreviikko	E	SA	1.3148099710838E+018	2020
@@ Minä olen kyllä vähän kade tuosta Alastalosta. Minä olen jäänyt sivulle 287. Mutta sinä kysyit parasta kotimaista. Minulle se on ollut semmoinen kuin Emmi Pesonen: Maailman kaunein sana. Tykkäsin siitä ihan kamalan paljon. #murreviikko	W	SW	1.314808577304E+018	2020
Siellä keino, hyvinhän se onnisti tuo #murreviikko Minun piti jo välillä taukoa pitää kun alkoi murregeneraattori lukeakin kaiken murteella olipa sillä kirjoitettu tai ei. Vaan hauskaahan tuo oli. [url]	E	SA	1.31480301925982E+018	2020
Hyvää Aleksis Kiven ja suomalaisen kirjallisuuden päivää! Mikä on sinulle paras kotimainen kirja tänä vuonna?  Minä luin vihdosta viimein Volter Kilven Alastalon salissa. En unohda ikinä.  #murreviikko #volterkilpi #pukkila #suomalainenkirjallisuus [url]	E	SA	1.31480081234287E+018	2020
#murreviikko päättyy. Kiitos @@ Ensi vuonna uudestaan. [url]	E	NA	1.31478528004657E+018	2020
Olenko minä ymmärtänyt jotain ihan väärin kun Ylellä oli sellainen lista jossa lukee “Tuoreimmat uutiset” mutta siellä oli kauhean monta juttua Trumpista? #murreviikko #takki	W	SW	1.31469626345202E+018	2020
@@ Meilläpä alkoi loma ja tarkoitus olisi pihahommia tehdä. Kunhan ei vain ruho kipeytyisi äkkiseltään. Ja jos säät loppuviikolla antaa myöten, niin lähdetään metsään retkelle. #murreviikko #omamurre	E	SA	1.31469192199082E+018	2020
Voi sitä näinkin perjantai-iltaa viettää, lukemalla, miten verottaja twiittaa murteilla. [emoji] Kiitos jälleen mahtavasta ketjusta, @Verouutiset! (Minulta on kyllä päässyt tämä #murreviikko unohtumaan!) [url]	E	SE	1.31465330104091E+018	2020
Kyllä nyt on aika pollea olo siitä kuinka fiksu tiimi minulla on ja kuinka luovia asiakkaita meillä on. Herran_pojat että tämä veroviestintä on kivaa![emoji]	W	TA	1.31464913980061E+018	2020
@@ Eikö Forssassa tehdä perunasalaattia? #murreviikko	W	SW	1.31463990345674E+018	2020
@@ Hyvä Helka! Minä olen ollut tosi laiska tämän murreviikon kanssa. Olisiko vähän myös tuota murrekateutta ilmassa, kun oma murre ei ole kovin voimakasta #murreviikko	W	BN	1.31463891313116E+018	2020
@@ @@ Miksi semmoista otusta nykyään sanotaan kuin minä? Semmoista kun tykkää näteistä flikoista eikä niinkään räteistä tai lumpuista? Olenko minä cis-, dis-, eis-, fis- tai gis-hetero? #murreviikko	W	SW	1.31463282878575E+018	2020
@@ Niin aina! Tämmöisestä asiasta kohkaavat vielä pruukaavat itse olla semmoisen näköisiä että täytyy laittaa silmät kiinni ettei verenpainekäppyrä mene katosta läpi. #murreviikko	W	SW	1.3146296641876E+018	2020
@@ @@ @@ Minulle tulee mieleen se kun @@ tässä joku aika sitten kauheasti kohkasi että kuinka on tällainen huono laki että pitää maanteiden keltaisten viivojen päälle laittaa valkoinen maali. Kauhean kallista hänen mukaansa. Olisi varmaan kannattanut avata suu täysistunnossa kun kerran itse oli salissa paikalla. #murreviikko	W	SW	1.3146255602246E+018	2020
@@ @@ @@ Minä selitän sinulle: nämä kokomus(ta)-puolueen työn sankarit ovat keksineet että paatissa on pohjaproppu. Mitä nyt siitä että kaikki voivat hukkua tai ainakin kastua jos saadaan äänestäjille todista että paatti kulkee huonommin ja huonommin. #murreviikko	W	SW	1.31462211904992E+018	2020
Bonjasin juuri että nyt on joku murreviikko. Miten minä nyt millään murteella skriivaan, kun en tsennaa mitään murteita. Dorkaa.	W	HE	1.31462110314754E+018	2020
@@ Miten on mahdollista teloa polvi pyörällä, joka ei liiku mihinkään? #murreviikko	W	NO	1.31462052479491E+018	2020
@@ @@ Onko muuten semmoista että savolainen sanoo “odotellaan” siksi että_ei tarvitse edes yrittää sanoa d-kirjainta? Toisaalta jos oikein kauan odottelee, siinä voi treenata tuonkin taidon! #murreviikko	W	SW	1.3146195100712E+018	2020
Minä en oikein hiffaa mitä jengi skriivaa tällä viikolla täällä Twitterissä. No kuitenkin. Lähdin skidin kanssa pöndelle. Dallataan skutsissa ja käydään fissessä. Huomenna stikataan verkotkin vodaan. Jos fisuja tulee niin skruudataan, loput nakataan mutsille. Sekin diggaa fisuista. #murreviikko #omamurre	W	HE	1.31461673557268E+018	2020
Erityisen mukavaa tässä meidän yhteistyössä on eri murteiden kuuleminen yhteisissä kokouksissa. Oikein rinnassa läikähtää! #murreviikko	W	NA	1.31461578916561E+018	2020
Meikäläisen #pelastapörriäinen kampanja tuli tiensä päähän viime viikonloppuna! #Kiihtelysvaara’ssa on ollut yli tarpeen kärpäsiä. Otettiin vanhat konstit käyttöön.  Siellä roikkuu, viikon saalis...yök [emoji]  #kärpäsnauha’t oli tehnyt kauppansa, kertoi kaupan täti  #murreviikko [url]	NA	NA	1.31461022750173E+018	2020
Vai olisi se kuulemma #murreviikko ! Vaan kyllähän nuo kotoiset itämurteet vielä juohtuu mieleen, vaikka justiinsa tuli 11 vuotta täyteen Helsingissä	E	SA	1.31460729911846E+018	2020
Tosissaankaan tiedä. Käytetäänkö maskia vai köhitäänkö vain päin näköä. Säännöistäkään erkkikään ota selvää. Mutta mennään elämä koronan mukaan. Hymyillään kun tavataan - kukaan ei näekään kun naamat on piilossa [emoji]#murreviikko	W	BN	1.31460657559685E+018	2020
@@ toi iloa tähän päivään! #murreviikko [url]	NA	NA	1.31460418868544E+018	2020
Niin jotta ei minulla nyt muuta tähän #Murreviikko on ole antaa. Meni vissiin sitten vähän #vihapuhe enestojutuksi, mutta sanoisin, että se_on taivaan tosi, jotta näin pitää sanoakin. Hei nyt, minä menen lukemaan kirjaa. 7/7	W	SO	1.3146037945426E+018	2020
Niin että jos sitten jotakin muuta, mistä tykkäät ja joka saa sinut olemaan vähän helluisempi muille täällä Tirpuspalvelussakin. Olisit kuin untuvainen linnunpoikanen, jonka flöfföiset sulat vähän tuulessa heiluisivat. Ei olisi paha mielessä eikä mikään muukaan. Lähestyvä loma vain. #Murreviikko 6/	W	SO	1.31460379282292E+018	2020
Niin että mitä minä toivoisin? No kaikille viheriäistä nurmikkoa ja siihen pehmoinen viltti ja vähän eväitä, kropsua vaikka… Ai niin, mennään kohti mörönpimeää, niin jotta_ei se nyt ole mahdollista. #Murreviikko 5/	W	SO	1.31460379148909E+018	2020
Mitä valtion taloudenpitoon tulee, niin en osaa sanoa mitään. Minä itse yritän ja yritän, ja siinä sivussa meinaa nuppi huuruta, mutta jos_ei yrittäisi, niin pysähtyisihän sitä. En jouda siinä sivussa oikein muuta murehtimaan, mutta kaipa valtio hoitaa loput. #Murreviikko 4/	W	SO	1.31460378981555E+018	2020
Ja kun ne mielipiteet on justiin jotakin sellaisia, jotta akkojen verhat on sitä ja akkojen kirjoittamat viestit on tätä. Jos olisin jotakin mieltä näistä mielipidesankareista, niin tekisi mieli sanoa, jotta liian vähän on luettu ja saatu leikkiä nurmikolla. #Murreviikko 3/	W	SO	1.31460378833503E+018	2020
Täällä Tirpuspalvelussa on taas tärätty niin, jotta_ei ole voinut kuin käydä vähän kääntymässä. Jotta mikä siinäkin on, kun pitää olla joka asiasta jotakin mieltä ja sitten vielä tunkea ne mielenilmauksensa tällaiseenkin kanavaan, joka_on julki ja auki? #Murreviikko 2/	W	SO	1.31460378695509E+018	2020
Minä_olen kyllä ollut vähän saamaton tämän #murreviikko n kanssa, mutta kun on ollut niin kiire, jotta_en ole kissaakaan kerennyt sanoa kuin pitkähäntäiseksi harmaaksi eläimeksi. Jos minä nyt sitten trööttäisin ilmoille muutaman asian, mitkä minun mieltä on painanut. Ensinnäkin… 1/	W	SO	1.31460378528157E+018	2020
Vouti vie, mutta naurattaa mennessänsä. #murreviikko [url]	W	TA	1.31459793484826E+018	2020
Klffa idea, hauskoja twiittejä. #murreviikko	W	HE	1.31459485557051E+018	2020
Voi olla, että Hesarin toimittaja soitti tänään tai voi olla että ei soittanutkaan. No joka tapauksessa kävin ehkä uudelleen ulkona puhumassa puhelimeen. Näyttää siltä, että #murreviikko ylitti julkaisukynnyksen. [url]	E	SA	1.31458828759674E+018	2020
Minä ihan melkein unohdin että on #murreviikko mutta toisaalta twiittaan lähes aina puhekielellä ja sitten tuntuu että jos heitän väliin minä ja sinä sun muuta niin menee se vähäinenkin uskottavuus [emoji]	W	TA	1.31458766004078E+018	2020
@@ @@ @@ Kyllä sinä tukea saat ja praatata siitä, kuten tiedät. Siinä äänestyksessä sitten käy kuin käy. Siihen on vissi syy minkä varten sinun puolue on oppositiossa vänkäämässä. #murreviikko	W	SW	1.31458602158204E+018	2020
#KunOlintyttö kuulin olevani kirahvi, koska olen niin pitkä. Sen takia ei vedetä hartioita kyyryyn vaan seistään rinta rottingilla. Vähän #murreviikko.akin mukaan vielä	W	SO	1.31458174496902E+018	2020
@@ Minä fundeeraan että kyllä presidentti homo saa olla mutta kepulaista ei kyllä enää tule kun kekkoslovakiasta on päästy irti. #murreviikko	W	SW	1.31457475389474E+018	2020
Seitsemän veljestä 150 v. Aleksis Kiven päivä. Minä en tiedä, sanotaanko “minun murteella” seitsemän vai seitsemän ja veljestä vai veljestä ja päivä vai päivä. Olen #murrekameleontti johon tarttuu puhekumppanilta aina jotain enkä osaa kirjoittaa murrettani. #murreviikko	W	TA	1.3145742303239E+018	2020
@@ Onko se nyt aina semmoinen meininki, että jos veroehdotusta yhtään hiukkaakaan menee sorkkimaan, niin palautus siirtyy heti kolmella kuukaudella eteenpäin? #murreviikko	W	SW	1.31457339065367E+018	2020
@@ @@ @@ Niin on. Valitettavasti aikatauluni eivät enää anna myöden toimia aktiivina. Tulipa niitä ongelmissa olevia autettua ja koulutettua uusi nouseva polvi. Ja toisaalta:  “Ei sota yhtä miestä kaipaa!” #murreviikko	W	SW	1.31456973426065E+018	2020
@@ Me eilen fundeerattiin että jos olisi patentoinut sekopäisyyden niin valoisesta talosta tulisi aivan kauheasti rojalteja. Kuinka syvä säkki persuilla mahtaa olla tämmöistä tarkoitusta varten? #murreviikko	W	SW	1.31456930209226E+018	2020
Ei ole todellista? [emoji] Onneksi ei ole syntyjään porilainen vaikka täällä asuukin. Kaikki porilaiset eivät ole tuota mieltä… Vai hetkinen, menikö se murreviikko jo[emoji] [url]	W	SW	1.31456690607502E+018	2020
@@ #Murreviikko on virallisesti lyönyt läpi nyt. [emoji]	E	SE	1.31456672020448E+018	2020
Työhyvinvointipäivän voisi tiivistää murreviikon kunniaksi näin: “Kyllä tuli suu hyvän makuiseksi, kun sai teidän kanssa haastaa”. Ensimmäinen lähitapaaminen seitsemään kuukauteen [emoji] #työhyvinvointi #murreviikko	NA	NA	1.31456625636487E+018	2020
#Murreviikko’kin olisi mutta osaako sitä enää omaa murretta kun tulee niin harvoin puhuttua ja perhe puhuu ihan toisella tapaa. Naurattaa joskus kun kuopus yrittää matkia, mutta se on vaikeaa kun niitä vokaaleja ei tule joka väliin, eikä kaikki konsonantit tuplaannu.	W	NO	1.31455916375055E+018	2020
Jos stadin slangi on sinun murre niin tsekkaa täältä jos löytyisi faktaa sinun tai frendin veroprobleemiin. [emoji] #murreviikko #stadinslangi [url]	W	HE	1.31455902719669E+018	2020
Kyllä maar niin paljon hyvää asiakaspalvelua[emoji] #murreviikko [url]	W	SW	1.31455691307874E+018	2020
#murreviikko on saanut minut tajuamaan, että en osaa puhua mitään murretta. Siis vaikka yrittäisin, ei vain lähde. Toki käytän murteellisia ilmauksia, mutta mikään murre ei oikein tunnu omalta.	NA	NA	1.31455459124627E+018	2020
Oho, #murreviikko on näköjään ottanut ilmaa siipiensä alle. Nyt kaikki kysymään murteilla verottajalta! [url]	E	SA	1.31453878326254E+018	2020
@@ apua onko nyt joku murreviikko? Minä_en ole puhunut murteella yhtään voi hitto	W	BN	1.31453725941324E+018	2020
Tässäpä sitä on oivallista viranomaisviestintää - hauskaa kerta kaikkiaan! #murreviikko [url]	E	SA	1.31453463692046E+018	2020
#murreviikko päätteeksi lapsuusmuisto: Kouvolasta Savon sydänmaille tullessa huoltoasemalla savolaisukko päivitteli kynnykselle rullaantunutta mattoa: No jo on tuohonkin tällätty surmanloukku! Tuohon kun kaatuu ja lyö päänsä niin on se rätkässä.  Silloin tiesi tulleensa perille. [emoji]	E	SA	1.31453199268024E+018	2020
Vinkatkaa hei parhaat sarjat/leffat/podcastit yms missä voisi kuulla Turun murretta [emoji] Tämä murreviikko saa minut haluamaan vain lisää. Tässähän alkaa vain toivoa että murreviikko jatkuisi vaikka kuinka paljon pidemmälle.	W	SW	1.31453100917886E+018	2020
#murreviikko ja #asiakaspalveluviikko ja mitäpä sitä muutakaan @@ tehtäisiin kuin neuvottaisiin asiakkaita murteilla [emoji]. Viihdyttävin ketju pitkään aikaan! [url]	NA	NA	1.31452797116892E+018	2020
Aika spulit bläägät on, kun bamlaavat täällä #murreviikko meinasin saada slaagin, että skiglaako ne nyt taas ihan skönellä. Mutta kun funtsin niin, tekee gutaa, kun voi frogata jos ei snajua jotain blankettia tai skriivattua buffaa. #asiakaspalveluviikko #verohallinto [url]	W	HE	1.31452374910282E+018	2020
@@ Oletko sinä muistanut tarkistaa vero asiat kuntoon? Verotoimisto voi selvittää sitä varten [emoji] #murreviikko	W	NO	1.31452358497976E+018	2020
Luin bell hooksilta kaksi kirjaa ja kirjoitin blogiin pikkuisen tavallista pidemmän ja innostuneemman jutun. Aina joskus saattaa käydä niin, että lukiessa inspiroituu ajattelemaan vaikka omaa elämää.  #blogihommat #kirjatwitter #murreviikko  [url] [url]	E	SA	1.31451704381582E+018	2020
Saatiin @STNDigiIN-hankkeesta @@ ja @@ vieraaksi kertomaan hankkeesta ja sen tuloksista. Digisyrjäytymisen ehkäisy on ensiarvoisen tärkeää, kun julkisia digitaalisia palveluita pykätään. Huolehditaan siis digiosaamisesta (#digituki) ja palvelujen käytettävyydestä.  #murreviikko	W	SW	1.31451030227325E+018	2020
Onko mitään lappuja? Tilaajavastuutarkastus taipuu myös Turun murteelle. #tilaajavastuu #murreviikko #turku @@ [url]	W	SW	1.31450623621854E+018	2020
Minulla on aina ollut pieni ongelma murteen kanssa. Elin pienenä mummon karjalanmurteen ympäröimänä, mutta kävin koulua samassa paikassa kuin Hyypiän Sami. Että ihan kotoisa olo tulee, kun Sami höpäjää kuusaata telkkarissa.  #murreviikko	E	SE	1.31450565146964E+018	2020
@@ @@ Sitten voi tietty miettiä sellaistakin että onko Suomi ollut aikaansa edellä muita maita siinä että on täysi sukuelin presidenttinä. #murreviikko	W	SW	1.31450328620505E+018	2020
Käynnissä on sekä #murreviikko että #asiakaspalveluviikko, joten luonnollisesti - ei_kun siis totta maar - vastaamme asiakkaiden kysymyksiin murteilla. Kyllä_näin_on ja ei_sen_väliä. [url]	W	TA	1.31449618518976E+018	2020
Kuinka muuten menee noin @@ puolueen näkökulmasta? Ei mitään kommenttia olisi? #murreviikko [url]	W	SW	1.31449316109659E+018	2020
Sitten on tämä klassikko: “Ei tässä renkaassa ole sisäkumia, kun se on tubelessi, tässä renkaassa on_vain niin_kuin ulkokumi.” #murreviikko [url]	W	SW	1.3144850050166E+018	2020
@@ Vaan liekö kukaan huomannut, että tuossa minun twiitissä, on mennyt vokaalit ja konsonantit sekaisin.. #murreviikko	E	SA	1.31448463407657E+018	2020
Kuultua #tyrvää’läisessä mm. työvaatteita myyvässä kaupassa: “Kyllä gore-texi on lokakuussa erinomainen!” #murreviikko #sastamala	W	TA	1.31448344844741E+018	2020
Ai prk, nythän on murreviikko.  Minulla kun melkein kolme vuosikymmentä meni noiden pelikoneiden ja kasinoiden kanssa vääntämiseen, niin nytpä minä olenkin alkanut ottaa semmoisen linjan, että enää ei olla hiljaa ja itsekseen.	E	SA	1.31447517045579E+018	2020
#Digiturvabarometri on vielä auki! Vastaisit siihen! Ei kestä kauhean kauan aikaa eikä ole kamalan vähti, mutta siitä on paljon hyötyä kun fiskaalit pykäävät turvallisempaa digiä.  #murreviikko [url]	W	SW	1.31447503117969E+018	2020
Miten nämä Jyväskylän puolitoistaiset vokaalit pitäisi kirjoittaa? #murreviikko	E	SA	1.31447480672163E+018	2020
kohta on murreviikko ohi ja hei mitä se sellainen olisikaan jos_ei nyt kerran edes porilainen vähän jostain närkästyisi ja alkaisi vääntää kränää  että nakkikiskalla tavataan, vittu	W	SW	1.31447428006373E+018	2020
#murreviikko hämmentää. Minä kun olen kasvanut ja asunut niin monella murrealueella niin mitä murretta minä edes puhun? Laitan saunan lämmitä ja kylven siellä vastalla, mutta tien reunassa on rotvalli, meen kotiin, niin etkö_sinä ymmärrä [emoji]	W	TA	1.3144725423511E+018	2020
@@ Tämä on jo vanha: Mistä tietää että Mao Zedong on käynyt Savossa? No Kuopion torilta on löydetty Madon syömä omena. #murreviikko	E	SA	1.31447186595666E+018	2020
Hyvää perjantaita! Meinaa vähän niin_kuin väsyttää eli pitäisi vissiin kahvia tai teetä lähteä keittelemään. Kivaa murreviikkoa ja viikonloppua kaikille! #murreviikko #kahvia  #oulunmurre	W	NO	1.31447024699306E+018	2020
@@ Olet ihan oikeassa, murre ei ole sellaisenaan mikään vitsi. Ihan liian usein murretta tuodaan esille vain huumorimielessä. #murreviikko	E	SA	1.31446812625651E+018	2020
Fundeeraapa tulisiko mieleen #murrevitsi!  Minä_en hoksaa vaikka freistaisinkin.  Minulla_on itsellä enempi semmoinen pyrkimys että omaa kieltä voisi käyttää vakavienkin, ja tavallisten asioiden kertomiseen. Kun se_ei_ole se etteikö osaisi, vaan se että kun ei pruukata.  #murreviikko #meänkieli [url]	W	BN	1.31446758360993E+018	2020
Kaikissahan minä, kaikenlaisissa töissä olen ollut. #murreviikko #veroinfo [url]	W	TA	1.31446722764364E+018	2020
#murreviikko sujuu ilman että edes yritän, vaikka vähän väärällä murteella. Just lähti työkaverille kutsu projektityöpalsuun.	W	TA	1.31445585985081E+018	2020
“No ne_on ollut OmaVerossa vasta vuodesta 2018, että sitä aikaisemmat sinulla pitäisi olla itsellä tallessa. Saat sinä ne meiltäkin tilattua, mutta se sitten kustantaa pikkaisen.”  @@ vastaa murteilla. Tämä toisi kyllä asiakaspalveluun inhimillisemmän sävyn missä vaan! #murreviikko [url]	W	SO	1.31445237635128E+018	2020
Ai että, nyt on kova!  #murreviikko  Kysymys: Ei sen_väliä, mutta milloin ne kuntien verotuksen prosentit tarvitsee ilmoittaa?  #verotus #verorahoitus #kunnallisvero [url]	W	TA	1.31444787187859E+018	2020
Se onkin jo viides päivä #murreviikko’a. Vieläkö jaksatte? Kerätäänkö tänään vaikka murrevitsejä, sellaisia kuin “Suomen kaunein koirarotu on Turun murre”? Yksi minun isäni suosikeista oli tämä: Ensin mentiin saunaan ja sitten syötiin vasta. Lopuksi pantiin ruuan päälle maata. [url]	E	SA	1.31444696007886E+018	2020
Markkasen poika Wille se osaa näpsäyttää kauniit kuvat Kuopiosta. Ensi viikolla syyslomaa. Kipitelkää Puijolle. Nauttikaa maisemista, juokaa kuppi kahvia ja samalla katsokaa Sohaib Khanin valokuvanäyttely jossa meidän @@ naiset. #murreviikko #Kuopio [url]	E	SA	1.31443694019268E+018	2020
@@ @@ @@ @@ Se on sitä kapitalismia se! #murreviikko #takki	W	SW	1.31433839932364E+018	2020
@@ Kuinka sinulta nyt jo pukkaa pötköä? Etkö_sinä syönyt hernesoppaa vasta päivälliseksi? #murreviikko	W	SW	1.31433611249678E+018	2020
@@ Niin hieno että sinun on ihan pakko alkaa tekemään akkoja yksinäisille miehille Vilperin Perikunnan reseptillä! #murreviikko [url]	W	SW	1.31432673857133E+018	2020
@@ Sillä kun lappaa soppaa suuhun niin ei lopu heti syöminen! #murreviikko	W	SW	1.3143252591312E+018	2020
@@ @@ Minulla on ja ollut sellaisia opettajia joista pruukattiin sanoa että oltiin psykon tunnilla! Kyllä maailma on pieni! #murreviikko	W	SW	1.31431277427791E+018	2020
Nimimerkki Ano Nyymi laittoi yksityisviestiä ja kysyi että mikä sinä olet tuollaista sanomaan. No minä kerron: mänty koivu on sellaisia että erilaiset sienet lahottavat niitä mistä sattuu. Mutta kuusi - se on aina tyvestä laho jos ylipäänsä on. #murreviikko	W	SW	1.31430936239608E+018	2020
@@ Kuinka olisi muuten että jos tuhoaisi magnetismin viemällä Väyrys-Paten lähelle noita levyjä? Sillä pyöri kompassin neula sillä_tavalla että siinä on pakko magneettikentän olla yksi sambakarnevaali! #murreviikko	W	SW	1.31430612733779E+018	2020
@@ @@ Jos tulee siinä määrin maittavaa että alkaa maha kasvaa niin sanokaa ruokarukouksen sijasta selkeällä äänellä: Pasta on magaroni!  Sitten passaa katsoa kuinka nälkä on. #murreviikko	W	SW	1.31430234227623E+018	2020
	W	SW	1.31430108600249E+018	2020
@@ @@ Ei sillä katso ole mitään väliä kun rahvas on sitä mieltä että maski kuin maski. Suojausluokan tihrustaminen ja manuaalin lukeminen on niin vanhanaikaista nykyään. Se on kyllä hienoa että on sellainen kuminauha maskeissa. Kummoinen poru siitä nyt tulisi jos joutuisi ihan itse so,mimaan semmoisen! #murreviikko	W	SW	1.31429808865219E+018	2020
@@ Fundeerasi kuinka rikas olisi jos olisi patentoinut sekopäisyyden? P-Amerikastakin saisi valkoisesta talosta kauheat rojaltit! #murreviikko	W	SW	1.31429438786263E+018	2020
@@ Minä fundeeraan niin_paljon_kauheasti että eikö Eirassa ole lainkaan semmoisia kapistuksia kuin meillä on ollut vaikka kuinka kauan. Niitä verotettiin kauan sitten pinta-alan mukaan. Ikkunoita verotettiin ja pinta-alan mukaan mutta minä tarkoitan peiliä! #murreviikko	W	SW	1.31428930799428E+018	2020
@@ @@ @@ @@ @@ Niin aina. Sikseen - niin_kuin V-Suomessa pruukataan sanoa. #murreviikko	W	SW	1.3142862669477E+018	2020
Minun lapseni on tulossa kotiin. Ai kun minä toivon jotta hän matkustaa turvallisesti eikä tuo meille mitään tauteja sieltä Hämeestä.  #murreviikko	E	SE	1.31426947632669E+018	2020
